OrderID,OrderDate,CustomerID,ProductCategory,ProductName,Quantity,UnitPrice,TotalPrice
10001041,30-09-2024,CUST001,Lighting,LED Bulb 9W,8,4.99,39.92
10001042,30-09-2024,CUST002,Cooling,Ceiling Fan Standard,3,59.99,179.97
10001043,01-10-2024,CUST003,Home Appliance,Microwave Oven 20L,1,89.5,89.5
10001044,01-10-2024,CUST004,Lighting,Smart Bulb RGB,12,12.5,150
10001045,02-10-2024,CUST005,Cooling,Table Fan Portable,2,24.99,49.98
10001046,02-10-2024,CUST006,Home Appliance,Electric Kettle,1,29.99,29.99
10001047,03-10-2024,CUST007,Lighting,Halogen Bulb 50W,30,2.75,82.5
10001048,03-10-2024,CUST008,Cooling,Exhaust Fan Small,1,35,35
10001049,04-10-2024,CUST009,Home Appliance,Toaster 2-Slice,3,45.99,137.97
10001050,04-10-2024,CUST010,Cooling,Pedestal Fan With Remote,1,49.99,49.99
10001051,05-10-2024,CUST001,Lighting,LED Tube Light 4ft,7,19.99,139.93
10001052,05-10-2024,CUST002,Home Appliance,Hand Blender Set,2,34,68
10001053,06-10-2024,CUST003,Cooling,Air Cooler Standard,1,129.99,129.99
10001054,06-10-2024,CUST004,Lighting,Desk Lamp Adjustable,5,18.5,92.5
10001055,07-10-2024,CUST005,Home Appliance,Coffee Maker 12 Cup,3,55.99,167.97
10001056,07-10-2024,CUST006,Cooling,Small Personal Fan,15,14.99,224.85
10001057,08-10-2024,CUST007,Lighting,Flood Light Outdoor,2,39.95,79.9
10001058,08-10-2024,CUST008,Home Appliance,Iron Steam Press,1,22,22
10001059,09-10-2024,CUST009,Cooling,Tower Fan Oscillating,2,79.99,159.98
10001060,09-10-2024,CUST010,Lighting,Edison Style Bulb,35,6.5,227.5
10001061,10-10-2024,CUST001,Lighting,LED Bulb 9W,12,4.99,59.88
10001062,10-10-2024,CUST002,Cooling,Ceiling Fan Standard,1,59.99,59.99
10001063,11-10-2024,CUST003,Home Appliance,Microwave Oven 20L,2,89.5,179
10001064,11-10-2024,CUST004,Lighting,Smart Bulb RGB,7,12.5,87.5
10001065,12-10-2024,CUST005,Cooling,Table Fan Portable,4,24.99,99.96
10001066,12-10-2024,CUST006,Home Appliance,Electric Kettle,1,29.99,29.99
10001067,13-10-2024,CUST007,Lighting,Halogen Bulb 50W,25,2.75,68.75
10001068,13-10-2024,CUST008,Cooling,Exhaust Fan Small,1,35,35
10001069,14-10-2024,CUST009,Home Appliance,Toaster 2-Slice,2,45.99,91.98
10001070,14-10-2024,CUST010,Cooling,Pedestal Fan With Remote,3,49.99,149.97
10001071,15-10-2024,CUST001,Lighting,LED Tube Light 4ft,6,19.99,119.94
10001072,15-10-2024,CUST002,Home Appliance,Hand Blender Set,1,34,34
10001073,16-10-2024,CUST003,Cooling,Air Cooler Standard,1,129.99,129.99
10001074,16-10-2024,CUST004,Lighting,Desk Lamp Adjustable,10,18.5,185
10001075,17-10-2024,CUST005,Home Appliance,Coffee Maker 12 Cup,2,55.99,111.98
10001076,17-10-2024,CUST006,Cooling,Small Personal Fan,8,14.99,119.92
10001077,18-10-2024,CUST007,Lighting,Flood Light Outdoor,3,39.95,119.85
10001078,18-10-2024,CUST008,Home Appliance,Iron Steam Press,1,22,22
10001079,19-10-2024,CUST009,Cooling,Tower Fan Oscillating,1,79.99,79.99
10001080,19-10-2024,CUST010,Lighting,Edison Style Bulb,30,6.5,195
10001081,20-10-2024,CUST001,Lighting,LED Bulb 9W,18,4.99,89.82
10001082,20-10-2024,CUST002,Cooling,Ceiling Fan Standard,2,59.99,119.98
10001083,21-10-2024,CUST003,Home Appliance,Microwave Oven 20L,1,89.5,89.5
10001084,21-10-2024,CUST004,Lighting,Smart Bulb RGB,9,12.5,112.5
10001085,22-10-2024,CUST005,Cooling,Table Fan Portable,3,24.99,74.97
10001086,22-10-2024,CUST006,Home Appliance,Electric Kettle,2,29.99,59.98
10001087,23-10-2024,CUST007,Lighting,Halogen Bulb 50W,35,2.75,96.25
10001088,23-10-2024,CUST008,Cooling,Exhaust Fan Small,1,35,35
10001089,24-10-2024,CUST009,Home Appliance,Toaster 2-Slice,1,45.99,45.99
10001090,24-10-2024,CUST010,Cooling,Pedestal Fan With Remote,2,49.99,99.98
10001091,25-10-2024,CUST001,Lighting,LED Tube Light 4ft,8,19.99,159.92
10001092,25-10-2024,CUST002,Home Appliance,Hand Blender Set,3,34,102
10001093,26-10-2024,CUST003,Cooling,Air Cooler Standard,1,129.99,129.99
10001094,26-10-2024,CUST004,Lighting,Desk Lamp Adjustable,6,18.5,111
10001095,27-10-2024,CUST005,Home Appliance,Coffee Maker 12 Cup,2,55.99,111.98
10001096,27-10-2024,CUST006,Cooling,Small Personal Fan,12,14.99,179.88
10001097,28-10-2024,CUST007,Lighting,Flood Light Outdoor,1,39.95,39.95
10001098,28-10-2024,CUST008,Home Appliance,Iron Steam Press,3,22,66
10001099,29-10-2024,CUST009,Cooling,Tower Fan Oscillating,1,79.99,79.99
10001100,29-10-2024,CUST010,Lighting,Edison Style Bulb,28,6.5,182
10001101,30-10-2024,CUST001,Lighting,LED Bulb 9W,10,4.99,49.9
10001102,30-10-2024,CUST002,Cooling,Ceiling Fan Standard,1,59.99,59.99
10001103,31-10-2024,CUST003,Home Appliance,Microwave Oven 20L,2,89.5,179
10001104,31-10-2024,CUST004,Lighting,Smart Bulb RGB,5,12.5,62.5
10001105,01-11-2024,CUST005,Cooling,Table Fan Portable,1,24.99,24.99
10001106,01-11-2024,CUST006,Home Appliance,Electric Kettle,3,29.99,89.97
10001107,02-11-2024,CUST007,Lighting,Halogen Bulb 50W,50,2.75,137.5
10001108,02-11-2024,CUST008,Cooling,Exhaust Fan Small,2,35,70
10001109,03-11-2024,CUST009,Home Appliance,Toaster 2-Slice,1,45.99,45.99
10001110,03-11-2024,CUST010,Cooling,Pedestal Fan With Remote,2,49.99,99.98
10001111,04-11-2024,CUST001,Lighting,LED Tube Light 4ft,10,19.99,199.9
10001112,04-11-2024,CUST002,Home Appliance,Hand Blender Set,1,34,34
10001113,05-11-2024,CUST003,Cooling,Air Cooler Standard,2,129.99,259.98
10001114,05-11-2024,CUST004,Lighting,Desk Lamp Adjustable,8,18.5,148
10001115,06-11-2024,CUST005,Home Appliance,Coffee Maker 12 Cup,1,55.99,55.99
10001116,06-11-2024,CUST006,Cooling,Small Personal Fan,20,14.99,299.8
10001117,07-11-2024,CUST007,Lighting,Flood Light Outdoor,1,39.95,39.95
10001118,07-11-2024,CUST008,Home Appliance,Iron Steam Press,2,22,44
10001119,08-11-2024,CUST009,Cooling,Tower Fan Oscillating,3,79.99,239.97
10001120,08-11-2024,CUST010,Lighting,Edison Style Bulb,40,6.5,260
10001121,09-11-2024,CUST001,Lighting,LED Bulb 9W,8,4.99,39.92
10001122,09-11-2024,CUST002,Cooling,Ceiling Fan Standard,3,59.99,179.97
10001123,10-11-2024,CUST003,Home Appliance,Microwave Oven 20L,1,89.5,89.5
10001124,10-11-2024,CUST004,Lighting,Smart Bulb RGB,12,12.5,150
10001125,11-11-2024,CUST005,Cooling,Table Fan Portable,2,24.99,49.98
10001126,11-11-2024,CUST006,Home Appliance,Electric Kettle,1,29.99,29.99
10001127,12-11-2024,CUST007,Lighting,Halogen Bulb 50W,30,2.75,82.5
10001128,12-11-2024,CUST008,Cooling,Exhaust Fan Small,1,35,35
10001129,13-11-2024,CUST009,Home Appliance,Toaster 2-Slice,3,45.99,137.97
10001130,13-11-2024,CUST010,Cooling,Pedestal Fan With Remote,1,49.99,49.99
10001131,14-11-2024,CUST001,Lighting,LED Tube Light 4ft,7,19.99,139.93
10001132,14-11-2024,CUST002,Home Appliance,Hand Blender Set,2,34,68
10001133,15-11-2024,CUST003,Cooling,Air Cooler Standard,1,129.99,129.99
10001134,15-11-2024,CUST004,Lighting,Desk Lamp Adjustable,5,18.5,92.5
10001135,16-11-2024,CUST005,Home Appliance,Coffee Maker 12 Cup,3,55.99,167.97
10001136,16-11-2024,CUST006,Cooling,Small Personal Fan,15,14.99,224.85
10001137,17-11-2024,CUST007,Lighting,Flood Light Outdoor,2,39.95,79.9
10001138,17-11-2024,CUST008,Home Appliance,Iron Steam Press,1,22,22
10001139,18-11-2024,CUST009,Cooling,Tower Fan Oscillating,2,79.99,159.98
10001140,18-11-2024,CUST010,Lighting,Edison Style Bulb,35,6.5,227.5
10001141,19-11-2024,CUST001,Lighting,LED Bulb 9W,12,4.99,59.88
10001142,19-11-2024,CUST002,Cooling,Ceiling Fan Standard,1,59.99,59.99
10001143,20-11-2024,CUST003,Home Appliance,Microwave Oven 20L,2,89.5,179
10001144,20-11-2024,CUST004,Lighting,Smart Bulb RGB,7,12.5,87.5
10001145,21-11-2024,CUST005,Cooling,Table Fan Portable,4,24.99,99.96
10001146,21-11-2024,CUST006,Home Appliance,Electric Kettle,1,29.99,29.99
10001147,22-11-2024,CUST007,Lighting,Halogen Bulb 50W,25,2.75,68.75
10001148,22-11-2024,CUST008,Cooling,Exhaust Fan Small,1,35,35
10001149,23-11-2024,CUST009,Home Appliance,Toaster 2-Slice,2,45.99,91.98
10001150,23-11-2024,CUST010,Cooling,Pedestal Fan With Remote,3,49.99,149.97
10001151,24-11-2024,CUST001,Lighting,LED Tube Light 4ft,6,19.99,119.94
10001152,24-11-2024,CUST002,Home Appliance,Hand Blender Set,1,34,34
10001153,25-11-2024,CUST003,Cooling,Air Cooler Standard,1,129.99,129.99
10001154,25-11-2024,CUST004,Lighting,Desk Lamp Adjustable,10,18.5,185
10001155,26-11-2024,CUST005,Home Appliance,Coffee Maker 12 Cup,2,55.99,111.98
10001156,26-11-2024,CUST006,Cooling,Small Personal Fan,8,14.99,119.92
10001157,27-11-2024,CUST007,Lighting,Flood Light Outdoor,3,39.95,119.85
10001158,27-11-2024,CUST008,Home Appliance,Iron Steam Press,1,22,22
10001159,28-11-2024,CUST009,Cooling,Tower Fan Oscillating,1,79.99,79.99
10001160,28-11-2024,CUST010,Lighting,Edison Style Bulb,30,6.5,195
10001161,29-11-2024,CUST001,Lighting,LED Bulb 9W,18,4.99,89.82
10001162,29-11-2024,CUST002,Cooling,Ceiling Fan Standard,2,59.99,119.98
10001163,30-11-2024,CUST003,Home Appliance,Microwave Oven 20L,1,89.5,89.5
10001164,30-11-2024,CUST004,Lighting,Smart Bulb RGB,9,12.5,112.5
10001165,01-12-2024,CUST005,Cooling,Table Fan Portable,3,24.99,74.97
10001166,01-12-2024,CUST006,Home Appliance,Electric Kettle,2,29.99,59.98
10001167,02-12-2024,CUST007,Lighting,Halogen Bulb 50W,35,2.75,96.25
10001168,02-12-2024,CUST008,Cooling,Exhaust Fan Small,1,35,35
10001169,03-12-2024,CUST009,Home Appliance,Toaster 2-Slice,1,45.99,45.99
10001170,03-12-2024,CUST010,Cooling,Pedestal Fan With Remote,2,49.99,99.98
10001171,04-12-2024,CUST001,Lighting,LED Tube Light 4ft,8,19.99,159.92
10001172,04-12-2024,CUST002,Home Appliance,Hand Blender Set,3,34,102
10001173,05-12-2024,CUST003,Cooling,Air Cooler Standard,1,129.99,129.99
10001174,05-12-2024,CUST004,Lighting,Desk Lamp Adjustable,6,18.5,111
10001175,06-12-2024,CUST005,Home Appliance,Coffee Maker 12 Cup,2,55.99,111.98
10001176,06-12-2024,CUST006,Cooling,Small Personal Fan,12,14.99,179.88
10001177,07-12-2024,CUST007,Lighting,Flood Light Outdoor,1,39.95,39.95
10001178,07-12-2024,CUST008,Home Appliance,Iron Steam Press,3,22,66
10001179,08-12-2024,CUST009,Cooling,Tower Fan Oscillating,1,79.99,79.99
10001180,08-12-2024,CUST010,Lighting,Edison Style Bulb,28,6.5,182
10001181,09-12-2024,CUST001,Lighting,LED Bulb 9W,10,4.99,49.9
10001182,09-12-2024,CUST002,Cooling,Ceiling Fan Standard,1,59.99,59.99
10001183,10-12-2024,CUST003,Home Appliance,Microwave Oven 20L,2,89.5,179
10001184,10-12-2024,CUST004,Lighting,Smart Bulb RGB,5,12.5,62.5
10001185,11-12-2024,CUST005,Cooling,Table Fan Portable,1,24.99,24.99
10001186,11-12-2024,CUST006,Home Appliance,Electric Kettle,3,29.99,89.97
10001187,12-12-2024,CUST007,Lighting,Halogen Bulb 50W,50,2.75,137.5
10001188,12-12-2024,CUST008,Cooling,Exhaust Fan Small,2,35,70
10001189,13-12-2024,CUST009,Home Appliance,Toaster 2-Slice,1,45.99,45.99
10001190,13-12-2024,CUST010,Cooling,Pedestal Fan With Remote,2,49.99,99.98
10001191,14-12-2024,CUST001,Lighting,LED Tube Light 4ft,10,19.99,199.9
10001192,14-12-2024,CUST002,Home Appliance,Hand Blender Set,1,34,34
10001193,15-12-2024,CUST003,Cooling,Air Cooler Standard,2,129.99,259.98
10001194,15-12-2024,CUST004,Lighting,Desk Lamp Adjustable,8,18.5,148
10001195,16-12-2024,CUST005,Home Appliance,Coffee Maker 12 Cup,1,55.99,55.99
10001196,16-12-2024,CUST006,Cooling,Small Personal Fan,20,14.99,299.8
10001197,17-12-2024,CUST007,Lighting,Flood Light Outdoor,1,39.95,39.95
10001198,17-12-2024,CUST008,Home Appliance,Iron Steam Press,2,22,44
10001199,18-12-2024,CUST009,Cooling,Tower Fan Oscillating,3,79.99,239.97
10001200,18-12-2024,CUST010,Lighting,Edison Style Bulb,40,6.5,260
10001201,19-12-2024,CUST001,Lighting,LED Bulb 9W,8,4.99,39.92
10001202,19-12-2024,CUST002,Cooling,Ceiling Fan Standard,3,59.99,179.97
10001203,20-12-2024,CUST003,Home Appliance,Microwave Oven 20L,1,89.5,89.5
10001204,20-12-2024,CUST004,Lighting,Smart Bulb RGB,12,12.5,150
10001205,21-12-2024,CUST005,Cooling,Table Fan Portable,2,24.99,49.98
10001206,21-12-2024,CUST006,Home Appliance,Electric Kettle,1,29.99,29.99
10001207,22-12-2024,CUST007,Lighting,Halogen Bulb 50W,30,2.75,82.5
10001208,22-12-2024,CUST008,Cooling,Exhaust Fan Small,1,35,35
10001209,23-12-2024,CUST009,Home Appliance,Toaster 2-Slice,3,45.99,137.97
10001210,23-12-2024,CUST010,Cooling,Pedestal Fan With Remote,1,49.99,49.99
10001211,24-12-2024,CUST001,Lighting,LED Tube Light 4ft,7,19.99,139.93
10001212,24-12-2024,CUST002,Home Appliance,Hand Blender Set,2,34,68
10001213,25-12-2024,CUST003,Cooling,Air Cooler Standard,1,129.99,129.99
10001214,25-12-2024,CUST004,Lighting,Desk Lamp Adjustable,5,18.5,92.5
10001215,26-12-2024,CUST005,Home Appliance,Coffee Maker 12 Cup,3,55.99,167.97
10001216,26-12-2024,CUST006,Cooling,Small Personal Fan,15,14.99,224.85
10001217,27-12-2024,CUST007,Lighting,Flood Light Outdoor,2,39.95,79.9
10001218,27-12-2024,CUST008,Home Appliance,Iron Steam Press,1,22,22
10001219,28-12-2024,CUST009,Cooling,Tower Fan Oscillating,2,79.99,159.98
10001220,28-12-2024,CUST010,Lighting,Edison Style Bulb,35,6.5,227.5
10001221,29-12-2024,CUST001,Lighting,LED Bulb 9W,12,4.99,59.88
10001222,29-12-2024,CUST002,Cooling,Ceiling Fan Standard,1,59.99,59.99
10001223,30-12-2024,CUST003,Home Appliance,Microwave Oven 20L,2,89.5,179
10001224,30-12-2024,CUST004,Lighting,Smart Bulb RGB,7,12.5,87.5
10001225,31-12-2024,CUST005,Cooling,Table Fan Portable,4,24.99,99.96
10001226,31-12-2024,CUST006,Home Appliance,Electric Kettle,1,29.99,29.99
10001227,01-01-2025,CUST007,Lighting,Halogen Bulb 50W,25,2.75,68.75
10001228,01-01-2025,CUST008,Cooling,Exhaust Fan Small,1,35,35
10001229,02-01-2025,CUST009,Home Appliance,Toaster 2-Slice,2,45.99,91.98
10001230,02-01-2025,CUST010,Cooling,Pedestal Fan With Remote,3,49.99,149.97
10001231,03-01-2025,CUST001,Lighting,LED Tube Light 4ft,6,19.99,119.94
10001232,03-01-2025,CUST002,Home Appliance,Hand Blender Set,1,34,34
10001233,04-01-2025,CUST003,Cooling,Air Cooler Standard,1,129.99,129.99
10001234,04-01-2025,CUST004,Lighting,Desk Lamp Adjustable,10,18.5,185
10001235,05-01-2025,CUST005,Home Appliance,Coffee Maker 12 Cup,2,55.99,111.98
10001236,05-01-2025,CUST006,Cooling,Small Personal Fan,8,14.99,119.92
10001237,06-01-2025,CUST007,Lighting,Flood Light Outdoor,3,39.95,119.85
10001238,06-01-2025,CUST008,Home Appliance,Iron Steam Press,1,22,22
10001239,07-01-2025,CUST009,Cooling,Tower Fan Oscillating,1,79.99,79.99
10001240,07-01-2025,CUST010,Lighting,Edison Style Bulb,30,6.5,195
10001241,08-01-2025,CUST001,Lighting,LED Bulb 9W,18,4.99,89.82
10001242,08-01-2025,CUST002,Cooling,Ceiling Fan Standard,2,59.99,119.98
10001243,09-01-2025,CUST003,Home Appliance,Microwave Oven 20L,1,89.5,89.5
10001244,09-01-2025,CUST004,Lighting,Smart Bulb RGB,9,12.5,112.5
10001245,10-01-2025,CUST005,Cooling,Table Fan Portable,3,24.99,74.97
10001246,10-01-2025,CUST006,Home Appliance,Electric Kettle,2,29.99,59.98
10001247,11-01-2025,CUST007,Lighting,Halogen Bulb 50W,35,2.75,96.25
10001248,11-01-2025,CUST008,Cooling,Exhaust Fan Small,1,35,35
10001249,12-01-2025,CUST009,Home Appliance,Toaster 2-Slice,1,45.99,45.99
10001250,12-01-2025,CUST010,Cooling,Pedestal Fan With Remote,2,49.99,99.98
10001251,13-01-2025,CUST001,Lighting,LED Tube Light 4ft,8,19.99,159.92
10001252,13-01-2025,CUST002,Home Appliance,Hand Blender Set,3,34,102
10001253,14-01-2025,CUST003,Cooling,Air Cooler Standard,1,129.99,129.99
10001254,14-01-2025,CUST004,Lighting,Desk Lamp Adjustable,6,18.5,111
10001255,15-01-2025,CUST005,Home Appliance,Coffee Maker 12 Cup,2,55.99,111.98
10001256,15-01-2025,CUST006,Cooling,Small Personal Fan,12,14.99,179.88
10001257,16-01-2025,CUST007,Lighting,Flood Light Outdoor,1,39.95,39.95
10001258,16-01-2025,CUST008,Home Appliance,Iron Steam Press,3,22,66
10001259,17-01-2025,CUST009,Cooling,Tower Fan Oscillating,1,79.99,79.99
10001260,17-01-2025,CUST010,Lighting,Edison Style Bulb,28,6.5,182
10001261,18-01-2025,CUST001,Lighting,LED Bulb 9W,10,4.99,49.9
10001262,18-01-2025,CUST002,Cooling,Ceiling Fan Standard,1,59.99,59.99
10001263,19-01-2025,CUST003,Home Appliance,Microwave Oven 20L,2,89.5,179
10001264,19-01-2025,CUST004,Lighting,Smart Bulb RGB,5,12.5,62.5
10001265,20-01-2025,CUST005,Cooling,Table Fan Portable,1,24.99,24.99
10001266,20-01-2025,CUST006,Home Appliance,Electric Kettle,3,29.99,89.97
10001267,21-01-2025,CUST007,Lighting,Halogen Bulb 50W,50,2.75,137.5
10001268,21-01-2025,CUST008,Cooling,Exhaust Fan Small,2,35,70
10001269,22-01-2025,CUST009,Home Appliance,Toaster 2-Slice,1,45.99,45.99
10001270,22-01-2025,CUST010,Cooling,Pedestal Fan With Remote,2,49.99,99.98
10001271,23-01-2025,CUST001,Lighting,LED Tube Light 4ft,10,19.99,199.9
10001272,23-01-2025,CUST002,Home Appliance,Hand Blender Set,1,34,34
10001273,24-01-2025,CUST003,Cooling,Air Cooler Standard,2,129.99,259.98
10001274,24-01-2025,CUST004,Lighting,Desk Lamp Adjustable,8,18.5,148
10001275,25-01-2025,CUST005,Home Appliance,Coffee Maker 12 Cup,1,55.99,55.99
10001276,25-01-2025,CUST006,Cooling,Small Personal Fan,20,14.99,299.8
10001277,26-01-2025,CUST007,Lighting,Flood Light Outdoor,1,39.95,39.95
10001278,26-01-2025,CUST008,Home Appliance,Iron Steam Press,2,22,44
10001279,27-01-2025,CUST009,Cooling,Tower Fan Oscillating,3,79.99,239.97
10001280,27-01-2025,CUST010,Lighting,Edison Style Bulb,40,6.5,260
10001281,28-01-2025,CUST001,Lighting,LED Bulb 9W,8,4.99,39.92
10001282,28-01-2025,CUST002,Cooling,Ceiling Fan Standard,3,59.99,179.97
10001283,29-01-2025,CUST003,Home Appliance,Microwave Oven 20L,1,89.5,89.5
10001284,29-01-2025,CUST004,Lighting,Smart Bulb RGB,12,12.5,150
10001285,30-01-2025,CUST005,Cooling,Table Fan Portable,2,24.99,49.98
10001286,30-01-2025,CUST006,Home Appliance,Electric Kettle,1,29.99,29.99
10001287,31-01-2025,CUST007,Lighting,Halogen Bulb 50W,30,2.75,82.5
10001288,31-01-2025,CUST008,Cooling,Exhaust Fan Small,1,35,35
10001289,01-02-2025,CUST009,Home Appliance,Toaster 2-Slice,3,45.99,137.97
10001290,01-02-2025,CUST010,Cooling,Pedestal Fan With Remote,1,49.99,49.99
10001291,02-02-2025,CUST001,Lighting,LED Tube Light 4ft,7,19.99,139.93
10001292,02-02-2025,CUST002,Home Appliance,Hand Blender Set,2,34,68
10001293,03-02-2025,CUST003,Cooling,Air Cooler Standard,1,129.99,129.99
10001294,03-02-2025,CUST004,Lighting,Desk Lamp Adjustable,5,18.5,92.5
10001295,04-02-2025,CUST005,Home Appliance,Coffee Maker 12 Cup,3,55.99,167.97
10001296,04-02-2025,CUST006,Cooling,Small Personal Fan,15,14.99,224.85
10001297,05-02-2025,CUST007,Lighting,Flood Light Outdoor,2,39.95,79.9
10001298,05-02-2025,CUST008,Home Appliance,Iron Steam Press,1,22,22
10001299,06-02-2025,CUST009,Cooling,Tower Fan Oscillating,2,79.99,159.98
10001300,06-02-2025,CUST010,Lighting,Edison Style Bulb,35,6.5,227.5
10001301,07-02-2025,CUST001,Lighting,LED Bulb 9W,12,4.99,59.88
10001302,07-02-2025,CUST002,Cooling,Ceiling Fan Standard,1,59.99,59.99
10001303,08-02-2025,CUST003,Home Appliance,Microwave Oven 20L,2,89.5,179
10001304,08-02-2025,CUST004,Lighting,Smart Bulb RGB,7,12.5,87.5
10001305,09-02-2025,CUST005,Cooling,Table Fan Portable,4,24.99,99.96
10001306,09-02-2025,CUST006,Home Appliance,Electric Kettle,1,29.99,29.99
10001307,10-02-2025,CUST007,Lighting,Halogen Bulb 50W,25,2.75,68.75
10001308,10-02-2025,CUST008,Cooling,Exhaust Fan Small,1,35,35
10001309,11-02-2025,CUST009,Home Appliance,Toaster 2-Slice,2,45.99,91.98
10001310,11-02-2025,CUST010,Cooling,Pedestal Fan With Remote,3,49.99,149.97
10001311,12-02-2025,CUST001,Lighting,LED Tube Light 4ft,6,19.99,119.94
10001312,12-02-2025,CUST002,Home Appliance,Hand Blender Set,1,34,34
10001313,13-02-2025,CUST003,Cooling,Air Cooler Standard,1,129.99,129.99
10001314,13-02-2025,CUST004,Lighting,Desk Lamp Adjustable,10,18.5,185
10001315,14-02-2025,CUST005,Home Appliance,Coffee Maker 12 Cup,2,55.99,111.98
10001316,14-02-2025,CUST006,Cooling,Small Personal Fan,8,14.99,119.92
10001317,15-02-2025,CUST007,Lighting,Flood Light Outdoor,3,39.95,119.85
10001318,15-02-2025,CUST008,Home Appliance,Iron Steam Press,1,22,22
10001319,16-02-2025,CUST009,Cooling,Tower Fan Oscillating,1,79.99,79.99
10001320,16-02-2025,CUST010,Lighting,Edison Style Bulb,30,6.5,195
10001321,17-02-2025,CUST001,Lighting,LED Bulb 9W,18,4.99,89.82
10001322,17-02-2025,CUST002,Cooling,Ceiling Fan Standard,2,59.99,119.98
10001323,18-02-2025,CUST003,Home Appliance,Microwave Oven 20L,1,89.5,89.5
10001324,18-02-2025,CUST004,Lighting,Smart Bulb RGB,9,12.5,112.5
10001325,19-02-2025,CUST005,Cooling,Table Fan Portable,3,24.99,74.97
10001326,19-02-2025,CUST006,Home Appliance,Electric Kettle,2,29.99,59.98
10001327,20-02-2025,CUST007,Lighting,Halogen Bulb 50W,35,2.75,96.25
10001328,20-02-2025,CUST008,Cooling,Exhaust Fan Small,1,35,35
10001329,21-02-2025,CUST009,Home Appliance,Toaster 2-Slice,1,45.99,45.99
10001330,21-02-2025,CUST010,Cooling,Pedestal Fan With Remote,2,49.99,99.98
10001331,22-02-2025,CUST001,Lighting,LED Tube Light 4ft,8,19.99,159.92
10001332,22-02-2025,CUST002,Home Appliance,Hand Blender Set,3,34,102
